EAN,categorie,Rayon,Libelle_produit,prix,EAN
4572051012901,Produits Secs & Conserves,pates,500g tortiglioni barilla,"1,46",4572051012901
8554530926312,Produits Secs & Conserves,pates,500g pq. pipe rigat barilla,"1,14",8554530926312
6727110209715,Produits Secs & Conserves,pates,500g farfallin bte cart barill,"1,25",6727110209715
5472769301227,Produits Secs & Conserves,pates,500g pates vermicelle barilla,"1,27",5472769301227
2699228766289,Produits Secs & Conserves,pates,500g macaroni barilla,"1,09",2699228766289
3715344660804,Produits Secs & Conserves,pates,500g pq. farfall barilla,"1,03",3715344660804
3804713622647,Produits Secs & Conserves,pates,250g cannelloni barilla,"1,39",3804713622647
6992573805463,Produits Secs & Conserves,pates,500g coquillett barilla,"0,96",6992573805463
4531074031653,Produits Secs & Conserves,pates,500g spaghettoni barilla,"0,93",4531074031653
2852094647093,Produits Secs & Conserves,pates,250g tortel.jamb./from.barilla,"2,35",2852094647093
5138849813063,Produits Secs & Conserves,pates,250g tortel.from.barilla,"2,36",5138849813063
4445791387391,Produits Secs & Conserves,pates,500g girandol torsad barilla,"0,95",4445791387391
8159224714056,Produits Secs & Conserves,pates,500g gnochetti barilla la clze,"1,41",8159224714056
6111967245604,Produits Secs & Conserves,pates,1kg coquillettes barilla,"1,77",6111967245604
6056712954040,Produits Secs & Conserves,pates,500g mini farfal poccol barill,"1,20",6056712954040
7112052179284,Produits Secs & Conserves,pates,500g mn pen rigat picco barill,"1,15",7112052179284
3534255422390,Produits Secs & Conserves,pates,500g pates linguin barilla,"1,38",3534255422390
2187451801891,Produits Secs & Conserves,pates,500g mini pipe rigate barilla,"1,17",2187451801891
9082889926240,Produits Secs & Conserves,pates,500g castellan collez barilla,"1,38",9082889926240
9454410316445,Produits Secs & Conserves,pates,500g tagliatelle la collezione,"1,74",9454410316445
818081820843,Produits Secs & Conserves,pates,500g spaghetti ble cpl barilla,"1,32",818081820843
2499988056315,Produits Secs & Conserves,pates,500g cellentani barilla,"1,38",2499988056315
3444556196348,Produits Secs & Conserves,pates,500g trofie barilla,"1,38",3444556196348
4171234858818,Produits Secs & Conserves,pates,500g mafalde barilla la colzne,"1,62",4171234858818
7322227252154,Produits Secs & Conserves,pates,1kg spaghettoni barilla,"1,80",7322227252154
1295050357232,Produits Secs & Conserves,pates,400g spaghetti sans gluten,"2,33",1295050357232
1097613906522,Produits Secs & Conserves,pates,400g penne sans gluten,"2,33",1097613906522
6057249065607,Produits Secs & Conserves,pates,400g coquilette sans gluten,"2,30",6057249065607
4289565976913,Produits Secs & Conserves,pates,250g garganelli la clze barill,"1,64",4289565976913
8545063518740,Produits Secs & Conserves,pates,500g linguine a.barilla,"2,59",8545063518740
8340969526089,Produits Secs & Conserves,pates,500g fusilli a.barilla,"2,59",8340969526089
3511087522709,Produits Secs & Conserves,pates,500g orecchiette a.barilla,"2,59",3511087522709
1638231380880,Produits Secs & Conserves,pates,100g landleben pois d'or,"0,83",1638231380880
2415269124383,Produits Secs & Conserves,pates,200g landleben pois d'or,"1,38",2415269124383
1724527925685,Produits Secs & Conserves,pates,175g landleben crepes d'or,"1,21",1724527925685
5368926199695,Produits Secs & Conserves,riz et farines,500g semoule ble dur moyenne,"1,38",5368926199695
2353977960756,Produits Secs & Conserves,riz et farines,5x90g riz 5 min lustucru,"2,16",2353977960756
1537693346723,Produits Secs & Conserves,riz et farines,5x90g riz basmati sct cuis lus,"2,69",1537693346723
7548103317720,Produits Secs & Conserves,riz et farines,5x90g riz thai sch cuiss lust.,"2,49",7548103317720
2417137162257,Produits Secs & Conserves,riz et farines,450g riz complet lustucru,"2,08",2417137162257
3862587026738,Produits Secs & Conserves,riz et farines,400g riz a poeler lustucru,"2,16",3862587026738
428062128320,Produits Secs & Conserves,riz et farines,5x90g riz basmati sachet cuiss,"2,53",428062128320
4755461486583,Produits Secs & Conserves,riz et farines,500g risotto taureau aile,"2,43",4755461486583
9074127045951,Produits Secs & Conserves,riz et farines,500g riz basmati himalaya ta,"2,70",9074127045951
8978219596230,Produits Secs & Conserves,riz et farines,500g riz 2 basmati ta,"2,86",8978219596230
313684398747,Produits Secs & Conserves,riz et farines,500g riz parfume taureau aile,"2,25",313684398747
1553453060022,Produits Secs & Conserves,riz et farines,500g riz basmati taureau aile,"2,39",1553453060022
3321597775590,Produits Secs & Conserves,riz et farines,1kg riz basmati taureau aile,"3,63",3321597775590
7442928009197,Produits Secs & Conserves,riz et farines,500g riz basmati imperial ta,"2,90",7442928009197
7580269642831,Produits Secs & Conserves,riz et farines,450g riz basmati t.a chanderna,"2,80",7580269642831
4906621462372,Produits Secs & Conserves,riz et farines,450g riz thai bangkok,"2,80",4906621462372
5375094636331,Produits Secs & Conserves,riz et farines,pq 500g lentil.verte du puy,"4,13",5375094636331
310863924067,Produits Secs & Conserves,riz et farines,500g lentilles vertes ch. roug,"1,67",310863924067
8922162942615,Produits Secs & Conserves,riz et farines,360g lentille verte 8 min saba,"3,16",8922162942615
550572108439,Produits Secs & Conserves,riz et farines,1kg graine couscous moyen,"2,26",550572108439
4073547504657,Produits Secs & Conserves,riz et farines,bte 500g couscous moyen tipiak,"1,68",4073547504657
5986863114040,Produits Secs & Conserves,riz et farines,500g graine couscous fine,"1,25",5986863114040
8065909189922,Produits Secs & Conserves,riz et farines,bt 500g polenta precuit.tipiak,"1,51",8065909189922
9886289564461,Produits Secs & Conserves,riz et farines,5x100g couscous scht cuis tip,"1,75",9886289564461
7578173692607,Produits Secs & Conserves,riz et farines,500g couscous parfume epices,"3,17",7578173692607
7750045686422,Produits Secs & Conserves,riz et farines,400g cereales mediterranenne,"3,26",7750045686422
1343724922410,Produits Secs & Conserves,riz et farines,225g  mogette de vendee gillet,"2,37",1343724922410
3190630177348,Produits Secs & Conserves,riz et farines,500g semoule moyenne alpina,"1,89",3190630177348
3656544339426,Produits Secs & Conserves,riz et farines,1kg polenta tradition grosse,"2,50",3656544339426
8847405854885,Produits Secs & Conserves,riz et farines,1kg polenta tradition moyenne,"2,22",8847405854885
7886655004848,Produits Secs & Conserves,riz et farines,1kg polenta tradition fine,"2,48",7886655004848
8536439224434,Produits Secs & Conserves,riz et farines,500g polenta express moyenne,"1,74",8536439224434
8993140622370,Produits Secs & Conserves,riz et farines,500g ebly tendrissimo 10mn,"1,94",8993140622370
8592395942421,Produits Secs & Conserves,riz et farines,lt3x130g riz basmati ub expr.,"4,03",8592395942421
1677943572877,Produits Secs & Conserves,riz et farines,250g riz complet ub,"1,95",1677943572877
7997258041107,Produits Secs & Conserves,riz et farines,250g riz express paella u.ben,"1,71",7997258041107
2881865701541,Produits Secs & Conserves,riz et farines,250g riz mediter.2mm pochon ub,"1,60",2881865701541
5051050173792,Produits Secs & Conserves,riz et farines,250g riz cantonnais uncle ben,"1,62",5051050173792
9289490801404,Produits Secs & Conserves,riz et farines,250g riz basmati l.g pochon 2',"1,33",9289490801404
9360636422852,Produits Secs & Conserves,riz et farines,250g riz tomates/h.oliv ub,"1,82",9360636422852
3642647770321,Produits Secs & Conserves,riz et farines,330g meli melo gourmand tipiak,"3,35",3642647770321
1046859876950,Produits Secs & Conserves,riz et farines,350g prep.taboule citron/menth,"2,77",1046859876950
9427722170747,Produits Secs & Conserves,riz et farines,400g quinoa gourmand tipiak,"3,74",9427722170747
2239777395307,Produits Secs & Conserves,riz et farines,250g sachet haricot de soisson,"6,05",2239777395307
3088839606175,Produits Secs & Conserves,riz et farines,500g sachet haricot de soisson,"10,57",3088839606175
7985870765218,Produits Secs & Conserves,riz et farines,220g melange 5 cereales ub,"2,34",7985870765218
4532178061559,Produits Secs & Conserves,riz et farines,200g riz ble quinoa ub,"2,34",4532178061559
9965979467724,Produits Secs & Conserves,riz et farines,250g riz champignon express ub,"1,89",9965979467724
5637579426801,Produits Secs & Conserves,riz et farines,250g riz express basmati curry,"2,05",5637579426801
4402536708259,Produits Secs & Conserves,riz et farines,250g riz express citron/romari,"2,03",4402536708259
2909410825418,Produits Secs & Conserves,riz et farines,220g ble nat/h.oli2mmpoc.ebly,"1,77",2909410825418
9778463629890,Produits Secs & Conserves,riz et farines,220g ebly expr.tom/bas 2'pch,"2,03",9778463629890
8155131200660,Produits Secs & Conserves,riz et farines,500g riz basmati supremeveete,"2,05",8155131200660
4153895092812,Produits Secs & Conserves,riz et farines,280g riz basmati veetee,"1,99",4153895092812
1785835064812,Produits Secs & Conserves,riz et farines,300g riz thai citron vert veet,"1,99",1785835064812
6209504824161,Produits Secs & Conserves,riz et farines,280g dine-in golden vegetale,"2,01",6209504824161
5156719203786,Produits Secs & Conserves,riz et farines,280g riz complet & quinoa veet,"2,01",5156719203786
3013333816238,Produits Secs & Conserves,riz et farines,500g etu riz u.ben's 10mn,"1,78",3013333816238
1655410229003,Produits Secs & Conserves,riz et farines,1kg riz 10mn long vrac u.ben's,"2,88",1655410229003
4099850803999,Produits Secs & Conserves,riz et farines,4x125g riz st cuisson 10mn u/b,"1,81",4099850803999
8647753324138,Produits Secs & Conserves,riz et farines,5x200g riz lg uncle bens scht,"3,04",8647753324138
7585301433405,Produits Secs & Conserves,riz et farines,500g riz jasmin sachet cuisson,"2,65",7585301433405
9898959550068,Produits Secs & Conserves,riz et farines,et 1kg riz uncle ben's 20 mn,"3,70",9898959550068
2689114714179,Produits Secs & Conserves,riz et farines,500g riz basmati scht cuisson,"2,62",2689114714179
4152698860655,Produits Secs & Conserves,riz et farines,375g polenta  de cecco,"2,38",4152698860655
9766417098038,Produits Secs & Conserves,riz et farines,500g riz risotto carnaroli,"3,39",9766417098038
7591967850306,Produits Secs & Conserves,riz et farines,210g risotto pronto cepes,"3,45",7591967850306
539862893969,Produits Secs & Conserves,produits patisserie,20ml vanille natur.vahine,"2,46",539862893969
6441981723604,Produits Secs & Conserves,produits patisserie,21g nappage pour tarte vahine,"1,43",6441981723604
9345559871639,Produits Secs & Conserves,produits patisserie,200ml arome fleur oranger vahi,"2,25",9345559871639
2404814286489,Produits Secs & Conserves,produits patisserie,20ml arome amande amere vahine,"1,59",2404814286489
